album_uri,album_name,artist,release_date,album_type,remove,notes
2IB4u7CExI80gM2KbkDtDp,Bad Company (feat. BlocBoy JB),A$AP Rocky,3/28/18,album,,
6rzMufuu8sLkIizM4q9c7J,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,2013,album,,
3AlyvIIMZyT5LjWFeK5LSl,Sundress,A$AP Rocky,11/20/18,album,,
3MATDdrpHmQCmuOcozZjDa,TESTING,A$AP Rocky,5/25/18,album,,
0xpKlXFqcZuIxCcN2rZj7j,Cocky (feat. London On Da Track),"A$AP Rocky, Gucci Mane, 21 Savage",2/16/18,album,,
41tn9gcVocI693HtBidKfi,12,A$AP Twelvyy,8/4/17,album,,
2NZV3fNMb9sKiR6DbVyTaJ,12 Days of X-Mas,A$AP Twelvyy,12/21/17,album,,
5t19wH8QdBI7kI79jDi38c,All $karz and Pain,A$AP Twelvyy,4/18/19,album,,
68GRf5hoSPYViFkBvNrRTS,Bill Collector,A$AP Twelvyy,8/14/19,album,,
6YLJj6bhEWgzNMB1ziPjWD,Brinx,A$AP Twelvyy,12/5/19,album,,
5tuTwHGf5QRQOb69QVdncW,Child's Play,A$AP Twelvyy,1/31/19,album,,
6s3OMGj3DM2aaeuMibyVaI,Gunpla,A$AP Twelvyy,2/10/20,album,,
3EK9UFt3Z35yb41TUMTZsp,Kratez,A$AP Twelvyy,8/14/19,album,,
5p9SelpKtKwjPoPS9sBk3V,Periodic Table,A$AP Twelvyy,7/28/17,album,,
7d1ZtI4mEvF2GeSW4EbzKZ,Spanglish,A$AP Twelvyy,11/14/19,album,,
0txtsHWZwnayJhkfM1vi9y,Bust It Open,A$AP TyY,9/21/16,album,,
49EkOm1EaQi2dR9268i0sb,Hit the Top,A$AP TyY,2/28/18,album,,
4NOH7T6VJw4EEYyFXJN3cl,IDGAF,A$AP TyY,2/22/19,album,,
6mJwfqWrklQpKvb50oQrmW,Like Me (feat. Bewhy & Cjamm),A$AP TyY,12/28/16,album,,
2L8T3J3c6qfUpk1ChQpdHc,Luther,A$AP TyY,2/23/19,album,,
0m3nSsom6t2dDwPLxb5H56,Owell,A$AP TyY,10/24/15,album,,
4AxtBckO6YBBNF0TngEQwR,Project Rockstar,A$AP TyY,3/1/19,album,,
07vlZuqhF2vzXONN2l2Alq,Troubles of the World,A$AP TyY,4/19/18,album,,
0lSbz1qwlwx7dQL6xx52OB,Trump,A$AP TyY,11/7/16,album,,
3Y7Gpaf4as0c99nPX1DcSe,Trump (Rock Version),A$AP TyY,1/28/19,album,1,duplicate
6BhCqW95yuGaKMT3S2teTY,CTC,"A$AP TyY, BLVCKLIST",11/22/19,album,,
6QbfJgcgCvJ4y4NWaj9mQ1,LIKE ME,"A$AP TyY, 씨잼, BewhY",4/14/17,album,1,
3G90l63ZH8HcjajFyJ72O4,1 Minute to Pray,A$Ton Matthews,2/9/18,album,,
0tvNs0Rw6jCbbScGI0dPy5,10 Toez,A$Ton Matthews,9/4/18,album,,
6IlJA1Zk2n3PDmgZOdtTam,Aston 3:16,A$Ton Matthews,3/16/14,album,,
