artist_name,album_name,track_uri,track_name,feature,track_popularity,album_uri,artist,release_date,artist_uri
2Pac,Soldier 2 Soldier (Collector's Edition),46exFQslViWJ7WxsGkNWgu,Soldiers Prayer AM,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),2fZ3zmZsq3sAW8ELu5YPXY,Runaway Slave,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),3ecTEeFaXqG1nygO77cb5S,Young Black and Just Don't Give a...,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),6ZswO8JlurvlaQE45BRFRw,How U Like That,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),4y4SIN7Uwt8UHgEmLyehsz,Jewels,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),3Do9vJwiq19MQ7VeXUoD95,Daddy Loves You,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),7f87hxaqVbyeOcsLNIdNLq,Soul Music,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),663yqz80xQRoiW27dgC9nd,Tryin 2 Make a Livin,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),2eLQt1H2iSpbMZOMgGhZo2,Time,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),6W8NioreZeDD1Koi68WjPs,4 Life,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),1PXtPb1BtVtbzFKCpKcCGr,Smoke Wit Me,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),6O1orxWiVf9qnzfJMxPr16,Kali4nya,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),2nfUkZw5O9PMi9cW9rosXs,Like a Soldier Wit It,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),2bwSRhBzrfu09fj6yPWht8,Soldier's Prayer PM,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),1ge8ukIcPgu7falEEAU2YV,Outlaw Pride,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Soldier 2 Soldier (Collector's Edition),2FgYQlmpFyuTGAKf9FGeEh,Leave the Past Behind,"Outlawz, 2Pac",16,2qmmPaaWXRM1kZujpUKKsO,2Pac,2010-11-23,1ZwdS5xdxEREPySFridCfh
2Pac,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),3Cd5BE3carDNzPaN4Iu0qs,Picture Me Rollin' (feat. Kurupt & Butch Cassidy),"Kurupt, Butch Cassidy",16,5y1YRK4BJCQWKLHr9gcUMK,2Pac,2007-07-03,1ZwdS5xdxEREPySFridCfh
2Pac,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),4Q6e2NCLX18VPBbr5RxLGF,Keep Goin' (feat. Fatal Hussein),Fatal Hussein,16,5y1YRK4BJCQWKLHr9gcUMK,2Pac,2007-07-03,1ZwdS5xdxEREPySFridCfh
2Pac,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),6LEtS24EsrpeSbMZOmG6YL,What'z Ya Phone # (feat. Candy Hill),Candy Hill,16,5y1YRK4BJCQWKLHr9gcUMK,2Pac,2007-07-03,1ZwdS5xdxEREPySFridCfh
2Pac,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),3JoqtFCCYiRrCNpXIKppGw,Staring Through My Rear View (feat. Dwele),Dwele,16,5y1YRK4BJCQWKLHr9gcUMK,2Pac,2007-07-03,1ZwdS5xdxEREPySFridCfh
2Pac,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),00AvOVhsUi1gOCnHxTFw7i,Hail Mary (feat. The Outlawz),Outlawz,16,5y1YRK4BJCQWKLHr9gcUMK,2Pac,2007-07-03,1ZwdS5xdxEREPySFridCfh
